X,Y
0.8009,0.989361
0.9894,0.989361
1.1778,1.083586
1.3663,1.083586
1.5547,1.083586
1.7432,1.083586
1.9316,1.083586
2.1201,1.083586
2.3085,1.083586
2.4970,1.083586
2.6854,1.083586
2.8739,1.083586
3.0623,1.083586
3.2508,1.083586
3.4392,1.083586
3.6277,1.083586
3.8161,1.083586
4.0046,1.083586
4.1930,1.130699
4.3815,1.177811
4.5699,1.177811
4.7584,1.177811
4.9468,1.177811
5.1353,1.177811
5.3237,1.177811
5.5122,1.177811
5.7006,1.177811
5.8891,1.177811
6.0775,1.177811
6.2660,1.272036
6.4544,1.272036
6.6429,1.272036
6.8313,1.272036
7.0198,1.272036
7.2082,1.272036
7.3967,1.272036
7.5851,1.272036
7.7736,1.272036
7.9620,1.272036
8.1505,1.272036
8.3389,1.272036
8.5274,1.272036
8.7158,1.272036
8.9043,1.272036
9.0927,1.272036
9.2811,1.272036
9.4696,1.272036
9.6580,1.272036
9.8465,1.272036
10.0349,1.272036
10.2234,1.272036
10.4118,1.272036
10.6003,1.272036
10.7887,1.224923
10.9772,1.272036
11.1656,1.272036
11.3541,1.177811
11.5425,1.272036
11.7310,1.272036
11.9194,1.177811
12.1079,1.177811
12.2963,1.177811
12.4848,1.177811
12.6732,1.177811
12.8617,1.177811
13.0501,1.177811
13.2386,1.177811
13.4270,1.177811
13.6155,1.177811
13.8039,1.177811
13.9924,1.177811
14.1808,1.177811
14.3693,1.177811
14.5577,1.177811
14.7462,1.177811
14.9346,1.177811
15.1231,1.177811
15.3115,1.177811
15.5000,1.177811
