Vmeasured,WLmeasured,Vconvert,Wlconvert,f calculated
2.10,5.06,0.0210,0.0506,0.415019763
2.09,5.05,0.0209,0.0505,0.413861386
1.53,5.95,0.0153,0.0595,0.257142857
1.47,5.46,0.0147,0.0546,0.26939359
1.48,5.90,0.0148,0.0590,0.250889981
0.90,6.43,0.0090,0.0643,0.139869383
2.07,5.04,0.0207,0.0504,0.411344704
2.10,5.11,0.0210,0.0511,0.410246382
2.09,5.09,0.0209,0.0509,0.411394892
2.08,5.13,0.0208,0.0513,0.40545809
2.06,5.23,0.0206,0.0523,0.394032135
2.05,5.36,0.0205,0.0536,0.382177479
1.42,6.01,0.0142,0.0601,0.236605657
1.24,6.24,0.0124,0.0624,0.198205416
